Unnamed: 0,total_return,volatility,return_rank,risk_rank,score
CCH.L,1.4598172433262575,0.201192314480297,12.0,12.0,24.0
TSCO.L,1.1640311419954652,0.1944477561446289,23.0,7.0,30.0
IHG.L,1.313786481365422,0.2135348932493701,18.0,18.0,36.0
HSBA.L,1.450690480678627,0.2220968016866566,13.0,26.0,39.0
SMIN.L,0.6502535281876727,0.195061314108984,32.0,8.0,40.0
IMB.L,0.5548498576287597,0.1835765266486592,36.0,5.0,41.0
FCIT.L,0.3992046475663657,0.140891010167402,44.0,2.0,46.0
IMI.L,1.1943466150768232,0.2224378376843962,20.0,28.0,48.0
PCT.L,1.8636009448550492,0.2348511713518341,8.0,42.0,50.0
ALW.L,0.3323412366523579,0.1383293588488573,49.0,1.0,50.0
MNG.L,0.6985221756039406,0.2171707399949211,31.0,22.0,53.0
AV.L,0.4358362978049794,0.1996262001412603,43.0,10.0,53.0
NG.L,0.3699349547042361,0.1970839941405421,46.0,9.0,55.0
SSE.L,0.5849029929593377,0.2220848910505208,33.0,25.0,58.0
WEIR.L,1.090368870019545,0.2277361566062459,24.0,34.0,58.0
SBRY.L,0.5768016210786993,0.2216608317578371,34.0,24.0,58.0
PSH.L,0.5445389052197456,0.2213452297535487,37.0,23.0,60.0
HLN.L,0.2758611856151418,0.1914945378204071,55.0,6.0,61.0
NXT.L,1.1763678923041891,0.2317283338880771,21.0,40.0,61.0
GSK.L,0.5732228935426196,0.2223147664558811,35.0,27.0,62.0
UU.L,0.3608862611110115,0.2102469055350352,47.0,16.0,63.0
HLMA.L,0.9522034501211588,0.231010394380821,26.0,37.0,63.0
BATS.L,0.304284959712771,0.2036180747814343,53.0,13.0,66.0
ULVR.L,0.1964558257258362,0.1593501030604557,64.0,3.0,67.0
LLOY.L,1.2270650985081826,0.2404393321383345,19.0,48.0,67.0
INF.L,0.3032078291139031,0.2056659347753141,54.0,15.0,69.0
SHEL.L,0.2323591004561414,0.2044649638444362,59.0,14.0,73.0
CPG.L,0.1007762572953245,0.178910739559529,69.0,4.0,73.0
SMT.L,0.735950042171319,0.2388174677460612,30.0,46.0,76.0
MKS.L,2.1329886557175315,0.2820155150115677,6.0,70.0,76.0
III.L,1.5375462997738525,0.2726830896756347,11.0,66.0,77.0
BA.L,1.4257148487845628,0.2587092221120056,15.0,62.0,77.0
CNA.L,1.1669272239860795,0.2457243120645037,22.0,57.0,79.0
ITRK.L,0.0930855511691002,0.2004569062290866,70.0,11.0,81.0
ADM.L,0.3298572007697171,0.2268551189373571,51.0,32.0,83.0
BARC.L,1.9646692735481217,0.3012222393582067,7.0,77.0,84.0
SVT.L,0.2009103457203713,0.2166233330010901,63.0,21.0,84.0
AAF.L,2.1426231074717488,0.3059860145781496,5.0,81.0,86.0
CCEP.L,0.4965467302176705,0.2393094378592214,39.0,47.0,86.0
DPLM.L,0.9780811299816174,0.2586246848677594,25.0,61.0,86.0
STAN.L,1.8152898009300955,0.302230578852065,9.0,78.0,87.0
NWG.L,1.3191263342884154,0.2826473455912354,17.0,71.0,88.0
BAB.L,3.753235979365947,0.3238341441212774,2.0,87.0,89.0
IAG.L,2.33772211654834,0.3165042225619816,4.0,85.0,89.0
AZN.L,0.3592804808339207,0.2364720420580331,48.0,43.0,91.0
LGEN.L,0.0864155010920928,0.2157312875621146,71.0,20.0,91.0
LSEG.L,0.0636734227380122,0.2110237660727234,75.0,17.0,92.0
PHNX.L,0.2409355769002497,0.2305850464169678,58.0,36.0,94.0
RR.L,12.326899705169948,0.3711310795378328,1.0,95.0,96.0
RIO.L,0.2417301912153986,0.2341845690345641,57.0,41.0,98.0
GAW.L,0.8954253619775698,0.2831162882956378,27.0,72.0,99.0
HWDN.L,0.4909569147479005,0.2485794527533525,40.0,59.0,99.0
LMP.L,0.2234037207195891,0.2313085659497776,60.0,39.0,99.0
DCC.L,0.2505493511308336,0.2374348984839569,56.0,45.0,101.0
BT-A.L,0.7785666319989735,0.2854476944755947,29.0,73.0,102.0
FRES.L,3.2317510089026538,0.4097498620674649,3.0,99.0,102.0
RKT.L,0.0691429721973573,0.2225659941357639,74.0,29.0,103.0
REL.L,-0.0415183977672813,0.2141873260313292,84.0,19.0,103.0
EDV.L,1.576338934900051,0.370331784886636,10.0,94.0,104.0
HSX.L,0.3310280072211409,0.2444474874190286,50.0,54.0,104.0
ANTO.L,1.4393775677083651,0.362363291864318,14.0,92.0,106.0
BKG.L,0.0792493157360938,0.2282711950468881,72.0,35.0,107.0
MRO.L,1.3473631738452587,0.3600235051999891,16.0,91.0,107.0
VOD.L,0.394203257694548,0.2594198751632231,45.0,64.0,109.0
PSON.L,-0.0192140157960019,0.2261692204512678,82.0,30.0,112.0
ABF.L,0.2141300058164705,0.2423377264685991,61.0,51.0,112.0
KGF.L,0.5068825535368733,0.2913851036260656,38.0,75.0,113.0
SN.L,0.1835777026519616,0.2444756413724367,65.0,55.0,120.0
BEZ.L,0.815643010791228,0.3646948879873058,28.0,93.0,121.0
ICG.L,0.4822222159542546,0.3144682039383278,41.0,83.0,124.0
UTG.L,-0.3626784628852457,0.2264215987866122,94.0,31.0,125.0
AUTO.L,-0.1064264617480841,0.2310511417201205,89.0,38.0,127.0
LAND.L,0.0378764194510623,0.2418222010824596,77.0,50.0,127.0
EZJ.L,0.4668392054937615,0.3194062306268211,42.0,86.0,128.0
DGE.L,-0.5146967690236367,0.2271549520156262,97.0,33.0,130.0
SGE.L,0.0749884226042676,0.2463264571925445,73.0,58.0,131.0
TW.L,0.1129270625816625,0.259178893773522,68.0,63.0,131.0
SGRO.L,0.018190057625369,0.2442144496039795,79.0,53.0,132.0
HIK.L,-0.0027564609570962,0.2440615121299122,80.0,52.0,132.0
WTB.L,0.0240948166676497,0.2450245347485426,78.0,56.0,134.0
SDR.L,0.3242876601256081,0.3082716800015688,52.0,82.0,134.0
BNZL.L,-0.2431892466973985,0.2372324891768781,92.0,44.0,136.0
EXPN.L,-0.102281516975045,0.2418122190718436,88.0,49.0,137.0
BP.L,-0.0328462489086335,0.2540604016716085,83.0,60.0,143.0
CTEC.L,-0.0054115604068142,0.2715503491955961,81.0,65.0,146.0
PSN.L,0.2116743466859536,0.3239451131277906,62.0,88.0,150.0
BTRW.L,-0.0676110116048075,0.2738156388126002,86.0,67.0,153.0
AHT.L,0.0584561019969691,0.3055084789019735,76.0,80.0,156.0
PRU.L,-0.0546672818409235,0.294301676612701,85.0,76.0,161.0
SPX.L,-0.2706701030316731,0.2753606371875263,93.0,68.0,161.0
AAL.L,0.1285314344873109,0.382843967930965,67.0,96.0,163.0
STJ.L,0.1311992706426514,0.3937795789530831,66.0,98.0,164.0
MNDI.L,-0.4063163208946749,0.2758299887950812,96.0,69.0,165.0
RMV.L,-0.1717600940569438,0.3037266226396378,91.0,79.0,170.0
GLEN.L,-0.0739761502170305,0.3163896973454225,87.0,84.0,171.0
CRDA.L,-0.5518971660297424,0.2888050011377463,98.0,74.0,172.0
